Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
1.,The Dark Knight,(2008),152 min,Action -  Crime -  Drama,9.0,"$185,000,000","534,858,444",2710342,84
2.,Pulp Fiction,(1994),154 min,Crime -  Drama,8.9,"$8,000,000","107,928,762",2103494,95
3.,The Godfather,(1972),175 min,Crime -  Drama,9.2,"$6,000,000","134,966,411",1903506,100
4.,Se7en,(1995),127 min,Crime -  Drama -  Mystery,8.6,"$33,000,000","100,125,643",1692365,65
5.,Batman Begins,(2005),140 min,Action -  Crime -  Drama,8.2,"$150,000,000","206,852,432",1499377,70
6.,The Silence of the Lambs,(1991),118 min,Crime -  Drama -  Thriller,8.6,"$19,000,000","130,742,922",1463591,86
7.,The Wolf of Wall Street,(2013),180 min,Biography -  Comedy -  Crime,8.2,"$100,000,000","116,900,694",1457294,75
8.,The Departed,(2006),151 min,Crime -  Drama -  Thriller,8.5,"$90,000,000","132,384,315",1352553,85
9.,Joker,(I) (2019),122 min,Crime -  Drama -  Thriller,8.4,"$55,000,000","335,451,311",1347354,59
10.,The Green Mile,(1999),189 min,Crime -  Drama -  Fantasy,8.6,"$60,000,000","136,801,374",1331107,61
11.,The Godfather Part II,(1974),202 min,Crime -  Drama,9.0,"$13,000,000","57,300,000",1297463,90
12.,Goodfellas,(1990),145 min,Biography -  Crime -  Drama,8.7,"$25,000,000","46,836,394",1188043,92
13.,Léon: The Professional,(1994),110 min,Action -  Crime -  Drama,8.5,"FRF 115,000,000","19,501,238",1185952,64
14.,American History X,(1998),119 min,Crime -  Drama,8.5,"$20,000,000","6,719,864",1140963,62
15.,Kill Bill: Vol. 1,(2003),111 min,Action -  Crime -  Drama,8.2,"$30,000,000","70,099,045",1138055,69
16.,The Usual Suspects,(1995),106 min,Crime -  Drama -  Mystery,8.5,"$6,000,000","23,341,568",1102230,77
17.,Reservoir Dogs,(1992),99 min,Crime -  Thriller,8.3,"$1,200,000","2,832,029",1040394,81
18.,Catch Me If You Can,(2002),141 min,Biography -  Crime -  Drama,8.1,"$52,000,000","164,615,351",1017224,75
