Number,Title,Year,Runtime,Genre,Rating,Budget,Votes,Metascore
1,The Super Mario Bros. Movie,-2023,92 min,Animation -  Adventure -  Comedy,7.3,"$100,000,000 ",90398,46
2,Peter Pan & Wendy,-2023,106 min,Action -  Adventure -  Comedy,4.2,,14630,61
3,The Flash,-2023,,Action -  Adventure -  Fantasy,,"$200,000,000 ",,
4,Dungeons & Dragons: Honor Among Thieves,-2023,134 min,Action -  Adventure -  Comedy,7.5,"$150,000,000 ",70520,72
5,The Little Mermaid,-2023,135 min,Adventure -  Family -  Fantasy,,,,
6,Renfield,-2023,93 min,Comedy -  Fantasy -  Horror,6.5,"$65,000,000 ",21311,53
7,Avatar: The Way of Water,-2022,192 min,Action -  Adventure -  Fantasy,7.7,"$350,000,000 ",372366,67
8,Barbie,-2023,,Adventure -  Comedy -  Fantasy,,"$100,000,000 ",,
9,Shazam! Fury of the Gods,-2023,130 min,Action -  Adventure -  Comedy,6.1,"$125,000,000 ",62996,47
10,Everything Everywhere All at Once,-2022,139 min,Action -  Adventure -  Comedy,7.9,"$14,300,000 ",438869,81
11,Suzume,-2022,122 min,Animation -  Action -  Adventure,7.8,,14696,77
12,Wish,-2023,,Animation -  Adventure -  Comedy,,,,
13,Wonka,-2023,,Adventure -  Comedy -  Family,,,,
14,Super Mario Bros.,-1993,104 min,Adventure -  Comedy -  Family,4.1,"$48,000,000 ",59668,35
15,Knights of the Zodiac,-2023,112 min,Action -  Adventure -  Drama,4.6,,1701,
16,Lilo & Stitch,,,Action -  Adventure -  Comedy,,,,
17,Harry Potter and the Sorcerer's Stone,-2001,152 min,Adventure -  Family -  Fantasy,7.6,"$125,000,000 ",806537,65
18,Spider-Man: Across the Spider-Verse,-2023,140 min,Animation -  Action -  Adventure,,"$150,000,000 ",,
19,Spider-Man: No Way Home,-2021,148 min,Action -  Adventure -  Fantasy,8.2,"$200,000,000 ",790480,71
20,The Northman,-2022,137 min,Action -  Adventure -  Drama,7,"$60,000,000 ",226331,82
21,Avatar,-2009,162 min,Action -  Adventure -  Fantasy,7.9,"$237,000,000 ",1339302,83
22,The Lord of the Rings: The Fellowship of the Ring,-2001,178 min,Action -  Adventure -  Drama,8.8,"$93,000,000 ",1910408,92
23,Wicked,-2024,,Comedy -  Drama -  Family,,,,
24,Peter Pan,-2003,113 min,Adventure -  Family -  Fantasy,6.8,"$100,000,000 ",76304,64
25,Chupa,-2023,95 min,Action -  Adventure -  Drama,5.5,,5114,48
26,The Portable Door,-2023,116 min,Fantasy,6,,3788,
27,Thor: Love and Thunder,-2022,118 min,Action -  Adventure -  Comedy,6.2,"$250,000,000 ",359476,57
28,Free Guy,-2021,115 min,Action -  Adventure -  Comedy,7.1,"$120,000,000 ",388177,62
29,The Marvels,-2023,,Action -  Adventure -  Fantasy,,,,
30,Star Wars: Episode IV - A New Hope,-1977,121 min,Action -  Adventure -  Fantasy,8.6,"$11,000,000 ",1389411,90
31,The Green Mile,-1999,189 min,Crime -  Drama -  Fantasy,8.6,"$60,000,000 ",1330307,61
32,Aquaman and the Lost Kingdom,-2023,,Action -  Adventure -  Fantasy,,"$205,000,000 ",,
33,Matilda,-1996,102 min,Comedy -  Family -  Fantasy,7,"$36,000,000 ",163051,72
34,Spider-Man: Into the Spider-Verse,-2018,117 min,Animation -  Action -  Adventure,8.4,"$90,000,000 ",558614,87
35,Black Adam,-2022,125 min,Action -  Adventure -  Fantasy,6.3,"$195,000,000 ",243304,41
36,Shazam!,-2019,132 min,Action -  Adventure -  Comedy,7,"$100,000,000 ",361011,71
37,Hook,-1991,142 min,Adventure -  Comedy -  Family,6.8,"$70,000,000 ",262319,52
38,Beetlejuice,-1988,92 min,Comedy -  Fantasy,7.5,"$15,000,000 ",314348,70
